wav,label,Cluster_0,Cluster_1,Cluster_2,Projection
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-118__source_drama__0__angry_media.wav,train,81,0,0,"[-2.85281039274199, 1.873336719236633]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-100__source_drama__0__angry_media.wav,train,81,0,0,"[-2.8351213253415537, 1.8542823813852447]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-75__source_drama__0__angry_media.wav,train,21,1,0,"[-5.98573621100539, 4.378468753434954]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-1__source_drama__0__angry_media.wav,train,35,3,0,"[-4.656768507097017, 5.004828161126138]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-108__source_drama__0__angry_media.wav,train,56,11,0,"[-1.5753698204195044, 2.0434564823778305]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-438__source_movie__0__angry_media.wav,train,65,1,0,"[-6.102967621327959, 4.073153591235005]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-258__source_drama__0__angry_media.wav,train,79,1,0,"[-5.713132139291738, 4.383357937414021]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/0011_000683.wav,train,82,2,1,"[11.1968288914473, -4.531450517214813]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/1048_IEO_ANG_HI.wav,train,22,4,2,"[6.1027535198310225, -1.3152289072322219]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/03-01-05-02-02-02-01.wav,train,66,12,1,"[7.019353129194222, -6.878205004547066]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/0019_000562.wav,train,45,2,1,"[11.121303275298738, -4.658869541249088]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-306__source_drama__0__angry_media.wav,train,21,1,0,"[-5.985986575565019, 4.393803702691068]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-454__source_movie__0__angry_media.wav,train,15,4,2,"[3.982786094649108, 0.6292385858940941]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-167__source_drama__0__angry_media.wav,train,41,1,0,"[-5.871241607431256, 4.478711692309156]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/1026_TSI_ANG_XX.wav,train,34,4,2,"[6.33156743939365, -0.8758764046744489]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-25__source_drama__0__angry_media.wav,train,54,1,0,"[-5.764460311938543, 4.277738770574254]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-248__source_drama__0__angry_media.wav,train,83,15,0,"[-3.6943276208263622, 6.962838147823028]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-685__source_movie__0__angry_media.wav,train,84,1,0,"[-6.213230072852259, 4.041268103649994]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-649__source_movie__0__angry_media.wav,train,62,6,3,"[-21.457444928615725, -6.370315366996227]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-401__source_drama__0__angry_media.wav,train,13,3,0,"[-4.499225614778511, 4.510114536710718]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/0014_000682.wav,train,23,9,1,"[12.253413941439899, -4.007028461013697]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-324__source_drama__0__angry_media.wav,train,0,0,0,"[-3.305973921015618, 1.1613680372681114]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-176__source_drama__1__angry_media.wav,train,42,4,2,"[5.676845799331806, -0.0016748941496492961]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-553__source_movie__0__angry_media.wav,train,11,1,0,"[-5.867466907388626, 4.106258544147086]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-362__source_drama__0__angry_media.wav,train,21,1,0,"[-6.00524379400647, 4.405012118091539]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/1003_WSI_ANG_XX.wav,train,85,4,2,"[6.42937192288052, -0.8183444682384422]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/0011_000445.wav,train,2,2,1,"[11.113052551540221, -4.665020463956068]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-44__source_drama__0__angry_media.wav,train,21,1,0,"[-5.9901666984094994, 4.389251849328464]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-716__source_movie__1__angry_media.wav,train,11,1,0,"[-5.903916376724255, 4.108979764066374]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-122__source_drama__0__angry_media.wav,train,86,1,0,"[-5.853795213951647, 3.671404992880324]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/1052_IEO_ANG_HI.wav,train,34,4,2,"[6.349661392719136, -0.9073526606428337]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/1065_IOM_ANG_XX.wav,train,15,4,2,"[4.288448957408591, 0.6924161552711062]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/1042_IEO_ANG_HI.wav,train,22,4,2,"[6.120034508244979, -1.2693841126314047]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/0013_000615.wav,train,50,2,1,"[11.115354345227969, -4.831925316301002]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-456__source_movie__0__angry_media.wav,train,21,1,0,"[-5.997009910011144, 4.377940452729418]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/03-01-05-02-02-02-20.wav,train,87,12,1,"[7.351561109749053, -6.186365927891651]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/0019_000556.wav,train,45,2,1,"[11.121900920711486, -4.660371888657581]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-49__source_drama__0__angry_media.wav,train,21,1,0,"[-5.988238157218484, 4.382236606433329]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-235__source_drama__1__angry_media.wav,train,22,4,2,"[5.8586770021233665, -1.2017001278382828]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-488__source_movie__1__angry_media.wav,train,26,6,3,"[-21.300568492881062, -5.269359778187365]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-99__source_drama__0__angry_media.wav,train,39,11,0,"[0.7575359441812233, 2.5938344478166444]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/1089_WSI_ANG_XX.wav,train,22,4,2,"[6.036132597353126, -1.190232275530937]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-573__source_movie__1__angry_media.wav,train,21,1,0,"[-6.0066554521337485, 4.402613770327809]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/1004_TIE_ANG_XX.wav,train,34,4,2,"[6.327356843897068, -0.8841794631223858]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-636__source_movie__0__angry_media.wav,train,88,8,3,"[-10.114866965364604, -1.0028178305711426]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/0011_000592.wav,train,4,2,1,"[11.073529696321794, -4.469117883216718]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-177__source_drama__1__angry_media.wav,train,41,1,0,"[-5.887073180817144, 4.486167143009624]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-220__source_drama__0__angry_media.wav,train,89,0,0,"[-3.6504281216059438, 2.33264793628061]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/OAF_beg_angry.wav,train,90,9,1,"[11.492667390034715, -3.7648507711498187]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-300__source_drama__0__angry_media.wav,train,91,1,0,"[-5.849913881638553, 4.1095661179612675]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-350__source_drama__0__angry_media.wav,train,92,1,0,"[-5.898804638808908, 3.857340211289981]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/1059_IEO_ANG_HI.wav,train,93,4,2,"[5.295767773746771, -2.2152282501652802]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-219__source_drama__0__angry_media.wav,train,36,6,3,"[-21.23591235569433, -5.38964046444724]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-603__source_movie__0__angry_media.wav,train,62,6,3,"[-21.532464429190526, -6.2784056261300965]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/0011_000567.wav,train,4,2,1,"[11.059859438363455, -4.490669861025373]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/1085_DFA_ANG_XX.wav,train,34,4,2,"[6.355500104810342, -0.8686640699699119]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-73__source_drama__0__angry_media.wav,train,76,0,0,"[-3.7332834911571973, 1.608034127464204]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-511__source_movie__0__angry_media.wav,train,21,1,0,"[-6.000248342172006, 4.391593516832832]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-431__source_movie__0__angry_media.wav,train,94,1,0,"[-6.051219421711437, 4.434515360368986]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-642__source_movie__0__angry_media.wav,train,62,6,3,"[-21.24815405436041, -6.4485718653236415]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/0011_000544.wav,train,2,2,1,"[11.113174965280754, -4.665165794390071]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-403__source_movie__0__angry_media.wav,train,11,1,0,"[-5.887817692696767, 4.0972441370533685]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/0014_000466.wav,train,50,2,1,"[11.125201728873753, -4.835758456391278]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-103__source_drama__0__angry_media.wav,train,79,1,0,"[-5.769203530983742, 4.408148199118999]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-518__source_movie__0__angry_media.wav,train,62,6,3,"[-21.640796508769252, -6.30434950559807]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-370__source_drama__0__angry_media.wav,train,74,1,0,"[-5.556927465108387, 4.393576974188881]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/03-01-05-02-01-01-20.wav,train,87,12,1,"[7.409376032755816, -6.348316423305894]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-490__source_movie__1__angry_media.wav,train,95,5,3,"[-8.646397924315949, -16.26586854467092]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/1085_WSI_ANG_XX.wav,train,85,4,2,"[6.511983248793644, -0.8033909518830921]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-598__source_movie__0__angry_media.wav,train,62,6,3,"[-21.570862048985244, -6.297996197140722]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-563__source_movie__0__angry_media.wav,train,96,1,0,"[-5.6293003968339095, 4.1388950109964044]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-7__source_drama__0__angry_media.wav,train,35,3,0,"[-4.595242482227761, 5.046129438753048]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-395__source_drama__0__angry_media.wav,train,83,15,0,"[-4.959662348787854, 7.387564652029898]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-230__source_drama__0__angry_media.wav,train,71,12,1,"[8.310993642874454, -5.988241531038747]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-613__source_movie__1__angry_media.wav,train,38,8,3,"[-11.52182035121014, -2.224920048291929]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-338__source_drama__0__angry_media.wav,train,81,0,0,"[-2.836177022194375, 1.76927878773454]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-346__source_drama__0__angry_media.wav,train,35,3,0,"[-4.6430889795498045, 5.104758365116181]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/03-01-05-02-02-02-09.wav,train,97,14,1,"[7.829247238975754, -7.941336096334042]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-570__source_movie__0__angry_media.wav,train,12,8,3,"[-10.185388596394828, -1.2499856788242771]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-149__source_drama__0__angry_media.wav,train,98,0,0,"[-3.0403984110885096, 1.739951901991678]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-722__source_movie__0__angry_media.wav,train,99,1,0,"[-6.23524714470843, 4.475900792968841]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/0011_000404.wav,train,4,2,1,"[11.012245283486479, -4.5065972997792345]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-343__source_drama__0__angry_media.wav,train,9,1,0,"[-6.162298773629867, 4.368946909476702]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-680__source_movie__0__angry_media.wav,train,100,6,3,"[-22.673965225188063, -5.830276056124874]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-151__source_drama__0__angry_media.wav,train,35,3,0,"[-4.580428768657004, 5.0203130489507295]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-632__source_movie__1__angry_media.wav,train,36,6,3,"[-21.276673427454718, -5.392250301731237]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-559__source_movie__0__angry_media.wav,train,26,6,3,"[-21.24756439739482, -5.2441937202346685]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-719__source_movie__1__angry_media.wav,train,100,6,3,"[-22.36921928750622, -5.982596637042747]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/0014_000557.wav,train,50,2,1,"[11.123647662211592, -4.812251838221853]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-674__source_movie__0__angry_media.wav,train,21,1,0,"[-6.004523848095138, 4.397052940824744]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/OAF_bath_angry.wav,train,101,9,1,"[11.642822759443575, -4.520166042770558]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/03-01-05-02-01-02-12.wav,train,49,12,1,"[8.197822605392629, -6.187929519297676]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-141__source_drama__0__angry_media.wav,train,35,3,0,"[-4.651171464983477, 5.047105754082922]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/0011_000682.wav,train,102,2,1,"[11.289858649994029, -4.799423534354569]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/1050_IEO_ANG_HI.wav,train,22,4,2,"[5.995988896305151, -1.347736226422495]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-183__source_drama__0__angry_media.wav,train,103,3,0,"[-4.809688566363191, 4.383232687121871]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/0019_000360.wav,train,50,2,1,"[11.115627894983238, -4.797956809162051]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-111__source_drama__0__angry_media.wav,train,21,1,0,"[-5.997611425042044, 4.4044309699129025]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-692__source_movie__1__angry_media.wav,train,21,1,0,"[-5.992722731205306, 4.404098195420946]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-422__source_movie__0__angry_media.wav,train,36,6,3,"[-21.313504054925076, -5.408781897496178]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-205__source_drama__1__angry_media.wav,train,0,0,0,"[-3.3286305258237, 1.1332646191744797]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-165__source_drama__0__angry_media.wav,train,46,3,0,"[-4.656449251522698, 4.7153611642448245]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-50__source_drama__0__angry_media.wav,train,21,1,0,"[-5.993674244381167, 4.371768681009813]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-114__source_drama__0__angry_media.wav,train,0,0,0,"[-3.427109155203309, 1.0914447660173303]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/1080_IWL_ANG_XX.wav,train,22,4,2,"[6.029285578158841, -1.2218720153044411]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/0011_000556.wav,train,2,2,1,"[11.113257349718195, -4.663123212494565]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/OAF_whip_angry.wav,train,29,10,1,"[8.327043452946699, -2.0913006755347427]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-332__source_drama__0__angry_media.wav,train,46,3,0,"[-4.609315043525519, 4.77754074322753]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-574__source_movie__0__angry_media.wav,train,13,3,0,"[-4.508129999551473, 4.487069070038091]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/1039_TAI_ANG_XX.wav,train,34,4,2,"[6.346610366255595, -0.8559878461541472]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-277__source_drama__0__angry_media.wav,train,104,0,0,"[-3.7723445318153, 1.9014961461762405]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/OAF_bean_angry.wav,train,19,9,1,"[11.734318433390563, -3.7552302488682616]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-40__source_drama__0__angry_media.wav,train,54,1,0,"[-5.667150193076163, 4.283169474291288]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-131__source_drama__0__angry_media.wav,train,21,1,0,"[-5.996710264409108, 4.382286040992039]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/0011_000594.wav,train,4,2,1,"[11.032223780810273, -4.5181731779459735]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-8__source_drama__0__angry_media.wav,train,105,0,0,"[-3.6724278887666446, 1.431258571184036]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-464__source_movie__0__angry_media.wav,train,62,6,3,"[-21.504743629678945, -6.251529504918658]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-506__source_movie__1__angry_media.wav,train,38,8,3,"[-11.788344682890909, -2.149816268212707]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-546__source_movie__0__angry_media.wav,train,21,1,0,"[-6.012091945877974, 4.390853115276902]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-531__source_movie__0__angry_media.wav,train,21,1,0,"[-6.00275849564442, 4.406439732335115]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/0011_000591.wav,train,4,2,1,"[11.056554506078301, -4.45678237353741]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-635__source_movie__0__angry_media.wav,train,0,0,0,"[-3.366139823432578, 1.2804783692726427]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-95__source_drama__0__angry_media.wav,train,66,12,1,"[6.723952283913605, -6.748116352311607]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-662__source_movie__0__angry_media.wav,train,47,1,0,"[-6.199166053732019, 4.494461138639194]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/1036_WSI_ANG_XX.wav,train,85,4,2,"[6.530903010322603, -0.7773852491230073]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/03-01-05-02-01-01-11.wav,train,28,7,1,"[13.781478516667796, -6.797713156106057]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-467__source_movie__0__angry_media.wav,train,59,6,3,"[-17.61797510390999, -5.128573693678419]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-549__source_movie__0__angry_media.wav,train,38,8,3,"[-11.642250381504791, -1.9863979065202173]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-298__source_drama__0__angry_media.wav,train,0,0,0,"[-3.419857828525991, 1.2589952358669327]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-293__source_drama__0__angry_media.wav,train,106,11,0,"[1.8457408778845035, 0.917094680050626]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/0011_000562.wav,train,4,2,1,"[11.059228699699107, -4.50541101212018]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-677__source_movie__0__angry_media.wav,train,75,1,0,"[-6.134713778723955, 4.401382550148257]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-229__source_drama__0__angry_media.wav,train,75,1,0,"[-6.143834820834911, 4.4183448854539495]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-710__source_movie__0__angry_media.wav,train,107,3,0,"[-4.8021850168525075, 5.1537853549720865]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-323__source_drama__0__angry_media.wav,train,60,1,0,"[-5.853554654974325, 4.094090632660164]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/1064_TSI_ANG_XX.wav,train,108,4,2,"[3.471383790044369, -0.4695497122209158]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/1064_TIE_ANG_XX.wav,train,22,4,2,"[6.12727605850084, -1.2332122032862878]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-290__source_drama__0__angry_media.wav,train,34,4,2,"[6.285375498040131, -0.8817894405916279]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/03-01-05-02-01-02-22.wav,train,109,7,1,"[12.806724526954255, -5.647333420312187]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-194__source_drama__0__angry_media.wav,train,75,1,0,"[-6.14633991817818, 4.4112584131932]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-113__source_drama__0__angry_media.wav,train,21,1,0,"[-5.98890429547703, 4.399084366467627]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-487__source_movie__1__angry_media.wav,train,69,5,3,"[-13.488659948943525, -12.98539726689992]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/0011_000614.wav,train,4,2,1,"[11.077366533381687, -4.479226704071801]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-115__source_drama__0__angry_media.wav,train,13,3,0,"[-4.479011615159296, 4.503248656040672]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-262__source_drama__0__angry_media.wav,train,72,1,0,"[-6.238606286005818, 4.304444810078783]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-10__source_drama__0__angry_media.wav,train,110,0,0,"[-2.5792490792392737, 1.8713955856151068]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/1068_IEO_ANG_HI.wav,train,22,4,2,"[6.0684491324720335, -1.402589274753882]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-344__source_drama__0__angry_media.wav,train,2,2,1,"[11.107889855586498, -4.664811319405935]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-421__source_movie__0__angry_media.wav,train,21,1,0,"[-6.00669608973754, 4.393722318647301]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-70__source_drama__0__angry_media.wav,train,76,0,0,"[-3.71326811794837, 1.6087637272951618]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/03-01-05-01-01-01-05.wav,train,31,7,1,"[13.588727000832385, -5.5774993551637015]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/03-01-05-02-01-02-08.wav,train,49,12,1,"[8.265981060095562, -6.0772665448329795]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-132__source_drama__0__angry_media.wav,train,111,1,0,"[-5.614371495816518, 4.140323847120398]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/0013_000628.wav,train,2,2,1,"[11.112803934222235, -4.663573863339217]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-530__source_movie__0__angry_media.wav,train,73,6,3,"[-17.160760007614144, -3.41987506408232]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-340__source_drama__0__angry_media.wav,train,44,2,1,"[10.791993466754597, -4.66209935787621]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-29__source_drama__0__angry_media.wav,train,98,0,0,"[-2.91736932715268, 1.6169228180558484]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-545__source_movie__0__angry_media.wav,train,38,8,3,"[-11.099043946632467, -2.2644827332350688]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/0013_000584.wav,train,50,2,1,"[11.118757064924104, -4.821282710060509]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-291__source_drama__0__angry_media.wav,train,21,1,0,"[-5.982405605295886, 4.39221561695615]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/0012_000567.wav,train,45,2,1,"[11.122809744368743, -4.659615729972606]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-654__source_movie__0__angry_media.wav,train,6,5,3,"[-15.683239934295871, -13.56044598140555]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-199__source_drama__0__angry_media.wav,train,112,3,0,"[-4.186409462965181, 4.710954685512785]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-425__source_movie__0__angry_media.wav,train,11,1,0,"[-5.888451477555449, 4.087539055948044]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/1004_DFA_ANG_XX.wav,train,34,4,2,"[6.316794370653279, -0.8700611244460386]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-721__source_movie__0__angry_media.wav,train,113,6,3,"[-22.192866329536393, -6.338400860746325]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/1005_DFA_ANG_XX.wav,train,34,4,2,"[6.347795485324128, -0.8483086650687423]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/1027_DFA_ANG_XX.wav,train,34,4,2,"[6.351379862206413, -0.8775931787470571]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/1029_WSI_ANG_XX.wav,train,52,13,2,"[8.100135246553585, 0.4830266663115833]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/OAF_bite_angry.wav,train,18,9,1,"[11.368301405966255, -4.343288804281079]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-486__source_movie__0__angry_media.wav,train,11,1,0,"[-5.899743827302457, 4.098034384644328]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-493__source_movie__0__angry_media.wav,train,9,1,0,"[-6.160940751398762, 4.342596917995624]"
